count,word,rank,cumulative_fraction
11327,lhr,765,0.7846
11323,wahl,766,0.7847
11298,damals,767,0.7849
11293,rest,768,0.785
11271,schätze,769,0.7851
11258,gefühl,770,0.7852
11254,zwar,771,0.7853
11242,halte,772,0.7855
11220,passieren,773,0.7856
11219,schlüssel,774,0.7857
11198,sitzen,775,0.7858
11179,millionen,776,0.7859
11169,weh,777,0.7861
11169,leicht,778,0.7862
11165,kümmern,779,0.7863
11092,hält,780,0.7864
11070,herren,781,0.7865
11067,sagten,782,0.7866
11043,kennt,783,0.7868
11020,gefragt,784,0.7869
10960,zukunft,785,0.787
10949,schauen,786,0.7871
10939,party,787,0.7872
10919,vergiss,788,0.7873
10892,angerufen,789,0.7875
10879,total,790,0.7876
10819,möchtest,791,0.7877
10816,solche,792,0.7878
10816,opfer,793,0.7879
10807,passt,794,0.788
10807,worden,795,0.7881
10806,versuch,796,0.7883
10793,gesprochen,797,0.7884
10768,gefängnis,798,0.7885
10760,cool,799,0.7886
10695,schreiben,800,0.7887
10692,vorsichtig,801,0.7888
10676,o,802,0.7889
10669,wovon,803,0.789
10651,großartig,804,0.7892
10643,laut,805,0.7893
10587,vorstellen,806,0.7894
10573,sinn,807,0.7895
10559,schöne,808,0.7896
10558,sobald,809,0.7897
10532,krankenhaus,810,0.7898
10528,wohnung,811,0.7899
10524,tragen,812,0.79
10521,person,813,0.7902
10497,böse,814,0.7903
10492,mist,815,0.7904
10487,michael,816,0.7905
10474,super,817,0.7906
10452,stark,818,0.7907
10438,still,819,0.7908
10433,mund,820,0.7909
10408,verletzt,821,0.791
10384,boss,822,0.7912
10381,leuten,823,0.7913
10374,boden,824,0.7914
10336,sex,825,0.7915
10333,kämpfen,826,0.7916
10315,bringe,827,0.7917
10313,fühlen,828,0.7918
10271,außerdem,829,0.7919
10249,lustig,830,0.792
10237,ändern,831,0.7921
10217,fliegen,832,0.7922
10204,findet,833,0.7923
10200,höre,834,0.7925
10189,klasse,835,0.7926
10183,verdammte,836,0.7927
10182,solange,837,0.7928
10180,charlie,838,0.7929
10137,setz,839,0.793
10114,schicken,840,0.7931
10114,länger,841,0.7932
10102,jemals,842,0.7933
10096,hörst,843,0.7934
10090,stolz,844,0.7935
10074,besonders,845,0.7936
10071,idiot,846,0.7937
10062,sicherheit,847,0.7938
10057,redest,848,0.794
10048,eher,849,0.7941
10038,umbringen,850,0.7942
10030,wenigstens,851,0.7943
10029,anrufen,852,0.7944
10023,zeug,853,0.7945
10015,sollst,854,0.7946
10000,gestorben,855,0.7947
9990,mr,856,0.7948
9986,ähm,857,0.7949
9986,hasse,858,0.795
9975,zeig,859,0.7951
9956,hart,860,0.7952
9929,erwartet,861,0.7953
